合约名称,代码
白糖2509,SR509
强麦2507,WH507
普麦2507,PM507
棉花2509,CF509
PTA2509,TA509
菜籽油2509,OI509
早籼稻2507,RI507
甲醇2509,MA509
玻璃2509,FG509
油菜籽2507,RS507
菜籽粕2509,RM509
动力煤2507,ZC507
粳稻2507,JR507
晚籼稻2507,LR507
硅铁2509,SF509
锰硅2509,SM509
棉纱2509,CY509
苹果2510,AP510
红枣2509,CJ509
尿素2509,UR509
纯碱2509,SA509
短纤2508,PF508
花生2510,PK510
对二甲苯2509,PX509
烧碱2509,SH509
瓶片2509,PR509
豆粕2509,m2509
豆一2509,a2509
玉米2509,c2509
豆油2509,y2509
豆二2509,b2509
塑料2509,l2509
棕榈油2509,p2509
PVC2509,v2509
焦炭2509,j2509
焦煤2509,jm2509
铁矿石2509,i2509
鸡蛋2508,jd2508
纤维板2510,fb2510
胶合板2511,bb2511
聚丙烯2509,pp2509
淀粉2507,cs2507
乙二醇2509,eg2509
粳米2508,rr2508
苯乙烯2507,eb2507
液化气2507,pg2507
生猪2509,lh2509
原木2507,lg2507
橡胶2509,ru2509
燃料油2509,fu2509
沥青2509,bu2509
纸浆2509,sp2509
BR橡胶2507,br2507
沪铜2507,cu2507
沪铝2507,al2507
沪锌2507,zn2507
沪金2508,au2508
螺纹钢2510,rb2510
线材2510,wr2510
沪铅2507,pb2507
沪银2508,ag2508
热卷2510,hc2510
沪镍2507,ni2507
沪锡2507,sn2507
不锈钢2508,ss2508
氧化铝2509,ao2509
铝合金2511,ad2511
原油2508,sc2508
20号胶2507,nr2507
LU燃油2508,lu2508
国际铜2507,bc2507
集运欧线2508,ec2508
工业硅2509,si2509
碳酸锂2509,lc2509
多晶硅2507,ps2507
300股指2509,IF2509
五年债2509,TF2509
十年债2509,T2509
50股指2509,IH2509
500股指2507,IC2507
二年债2509,TS2509
1000股指2509,IM2509
三十年债2509,TL2509
